Mat,bp_cluster
463,1
404,1
375,1
445,1
448,1
378,1
242,1
328,1
311,1
344,1
350,1
301,1
299,1
330,1
288,1
287,1
228,1
334,1
308,1
221,1
247,1
268,1
304,1
238,1
268,1
244,1
228,1
251,1
181,1
248,1
398,1
280,1
245,1
325,1
287,1
269,1
233,1
233,1
265,1
283,1
223,1
197,1
235,1
232,1
204,1
185,1
213,1
187,1
179,1
218,1
221,1
250,1
273,1
206,1
193,1
224,1
161,2
149,2
216,1
260,1
164,2
181,1
245,1
143,2
198,1
214,1
181,1
227,1
190,1
209,1
226,1
207,1
188,1
133,2
143,2
185,1
161,2
196,1
208,1
147,2
188,1
213,1
128,2
162,2
199,1
197,1
198,1
265,1
116,2
215,1
115,2
156,2
197,1
143,2
295,1
170,2
119,2
188,1
136,2
136,2
250,1
117,2
213,1
123,2
125,2
127,2
146,2
114,2
136,2
122,2
185,1
180,1
147,2
149,2
138,2
120,2
142,2
118,2
200,1
225,1
356,1
131,2
189,1
175,1
143,2
100,2
146,2
171,1
303,1
113,2
129,2
142,2
177,1
135,2
107,2
141,2
150,2
84,2
109,2
74,2
179,1
219,1
157,2
92,2
127,2
121,2
114,2
121,2
126,2
150,2
108,2
117,2
126,2
90,2
72,2
127,2
164,2
90,2
189,1
119,2
110,2
74,2
110,2
68,2
158,2
87,2
124,2
73,2
125,2
111,2
98,2
84,2
78,2
87,2
147,2
120,2
95,2
97,2
122,2
78,2
81,2
103,2
62,2
93,2
89,2
95,2
104,2
78,2
160,2
136,2
70,2
71,2
102,2
59,2
107,2
103,2
82,2
73,2
111,2
86,2
136,2
88,2
74,2
116,2
90,2
295,1
113,2
83,2
161,2
84,2
127,2
75,2
139,2
159,2
66,2
111,2
116,2
92,2
75,2
109,2
91,2
105,2
104,2
56,2
322,1
90,2
74,2
86,2
87,2
83,2
73,2
97,2
62,2
46,0
68,2
85,2
169,2
85,2
105,2
79,2
78,2
75,2
88,2
126,2
147,2
130,2
53,0
71,2
71,2
126,2
64,2
64,2
84,2
112,2
69,2
54,0
217,1
94,2
101,2
168,2
94,2
115,2
55,2
37,0
58,2
90,2
166,2
61,2
55,2
64,2
48,0
74,2
147,2
102,2
41,0
41,0
75,2
67,2
57,2
48,0
58,2
52,0
105,2
40,0
120,2
33,0
63,2
79,2
143,2
56,2
75,2
85,2
56,2
80,2
66,2
82,2
53,0
48,0
43,0
83,2
115,2
61,2
164,2
48,0
85,2
70,2
48,0
34,0
74,2
71,2
60,2
49,0
66,2
184,1
84,2
45,0
59,2
55,2
49,0
54,0
40,0
48,0
68,2
65,2
42,0
140,2
57,2
110,2
191,1
63,2
50,0
79,2
38,0
59,2
87,2
36,0
236,1
54,0
69,2
38,0
57,2
92,2
141,2
40,0
51,0
76,2
54,0
125,2
99,2
221,1
45,0
49,0
52,0
42,0
45,0
44,0
109,2
49,0
63,2
41,0
51,0
57,2
95,2
36,0
59,2
84,2
66,2
49,0
39,0
47,0
86,2
98,2
46,0
38,0
41,0
170,2
41,0
65,2
56,2
69,2
54,0
52,0
194,1
45,0
46,0
43,0
58,2
43,0
77,2
78,2
42,0
50,0
44,0
23,0
44,0
59,2
36,0
262,1
38,0
56,2
64,2
44,0
54,0
35,0
136,2
47,0
53,0
153,2
63,2
39,0
271,1
51,0
46,0
32,0
39,0
44,0
88,2
71,2
69,2
35,0
26,0
27,0
229,1
42,0
85,2
39,0
31,0
122,2
43,0
40,0
51,0
53,0
28,0
18,0
105,2
48,0
31,0
86,2
39,0
35,0
31,0
78,2
39,0
18,0
49,0
39,0
25,0
31,0
78,2
30,0
39,0
42,0
25,0
57,2
29,0
32,0
39,0
200,1
123,2
23,0
35,0
22,0
32,0
35,0
58,2
54,0
153,2
61,2
33,0
86,2
53,0
33,0
24,0
29,0
59,2
96,2
26,0
67,2
54,0
27,0
27,0
38,0
26,0
23,0
37,0
19,0
29,0
26,0
64,2
73,2
30,0
169,2
50,0
32,0
40,0
33,0
42,0
80,2
15,0
103,2
31,0
89,2
55,2
140,2
111,2
20,0
350,1
16,0
48,0
34,0
34,0
35,0
42,0
18,0
30,0
89,2
24,0
26,0
31,0
104,2
22,0
176,1
58,2
38,0
25,0
37,0
22,0
72,2
121,2
54,0
81,2
75,2
39,0
59,2
27,0
40,0
29,0
70,2
78,2
159,2
35,0
38,0
37,0
26,0
23,0
41,0
25,0
26,0
99,2
28,0
22,0
69,2
33,0
16,0
33,0
33,0
87,2
31,0
25,0
22,0
41,0
28,0
51,0
226,1
54,0
94,2
25,0
44,0
28,0
24,0
79,2
32,0
28,0
35,0
52,0
51,0
23,0
25,0
33,0
25,0
26,0
93,2
19,0
19,0
121,2
69,2
114,2
74,2
17,0
37,0
46,0
27,0
37,0
37,0
82,2
28,0
53,0
53,0
25,0
65,2
60,2
21,0
22,0
92,2
54,0
61,2
23,0
79,2
31,0
26,0
29,0
24,0
29,0
27,0
76,2
54,0
20,0
47,0
24,0
36,0
28,0
19,0
34,0
20,0
15,0
45,0
12,0
24,0
34,0
24,0
67,2
25,0
23,0
22,0
42,0
57,2
20,0
130,2
65,2
22,0
19,0
18,0
18,0
27,0
18,0
15,0
38,0
20,0
23,0
25,0
25,0
26,0
28,0
83,2
20,0
138,2
27,0
24,0
44,0
17,0
31,0
40,0
24,0
40,0
23,0
42,0
20,0
46,0
34,0
15,0
70,2
12,0
102,2
84,2
59,2
34,0
17,0
15,0
31,0
67,2
29,0
17,0
144,2
62,2
21,0
39,0
9,0
14,0
163,2
38,0
79,2
46,0
62,2
20,0
19,0
38,0
23,0
17,0
21,0
36,0
79,2
18,0
29,0
53,0
49,0
41,0
18,0
15,0
125,2
18,0
61,2
65,2
34,0
92,2
20,0
9,0
18,0
16,0
16,0
39,0
31,0
28,0
31,0
16,0
25,0
16,0
15,0
9,0
85,2
19,0
15,0
50,0
16,0
134,2
95,2
34,0
17,0
11,0
32,0
43,0
26,0
58,2
23,0
56,2
18,0
16,0
25,0
20,0
18,0
10,0
23,0
23,0
28,0
50,0
113,2
42,0
9,0
22,0
205,1
14,0
25,0
18,0
18,0
45,0
87,2
13,0
13,0
12,0
16,0
14,0
39,0
20,0
16,0
92,2
16,0
23,0
15,0
14,0
36,0
85,2
16,0
19,0
14,0
15,0
32,0
20,0
94,2
26,0
13,0
13,0
82,2
68,2
44,0
20,0
28,0
29,0
36,0
27,0
49,0
97,2
62,2
11,0
12,0
12,0
8,0
34,0
33,0
50,0
23,0
36,0
102,2
8,0
53,0
31,0
18,0
18,0
46,0
10,0
90,2
18,0
18,0
194,1
19,0
10,0
15,0
29,0
31,0
16,0
13,0
14,0
25,0
15,0
22,0
117,2
163,2
10,0
20,0
13,0
17,0
12,0
14,0
13,0
11,0
20,0
11,0
19,0
9,0
42,0
75,2
28,0
13,0
9,0
23,0
9,0
19,0
23,0
13,0
20,0
32,0
11,0
18,0
63,2
14,0
9,0
10,0
4,0
54,0
44,0
6,0
24,0
9,0
8,0
64,2
6,0
14,0
20,0
8,0
5,0
85,2
17,0
18,0
10,0
28,0
16,0
9,0
30,0
63,2
20,0
15,0
147,2
98,2
65,2
13,0
21,0
21,0
29,0
25,0
22,0
7,0
17,0
13,0
6,0
58,2
62,2
12,0
10,0
56,2
14,0
20,0
19,0
11,0
20,0
34,0
20,0
108,2
8,0
6,0
25,0
6,0
7,0
12,0
49,0
5,0
161,2
45,0
51,0
32,0
14,0
16,0
16,0
27,0
23,0
19,0
31,0
21,0
16,0
52,0
21,0
62,2
40,0
10,0
6,0
21,0
10,0
17,0
44,0
20,0
116,2
6,0
15,0
5,0
173,1
27,0
15,0
12,0
21,0
12,0
12,0
20,0
49,0
8,0
64,2
7,0
15,0
13,0
12,0
4,0
6,0
13,0
9,0
10,0
59,2
6,0
11,0
87,2
58,2
40,0
21,0
43,0
28,0
8,0
20,0
15,0
47,0
9,0
38,0
50,0
15,0
32,0
15,0
12,0
7,0
8,0
17,0
10,0
13,0
14,0
23,0
8,0
8,0
42,0
32,0
8,0
11,0
96,2
15,0
10,0
83,2
16,0
31,0
38,0
5,0
40,0
7,0
63,2
11,0
8,0
12,0
14,0
10,0
70,2
25,0
6,0
3,0
8,0
10,0
42,0
7,0
31,0
45,0
23,0
24,0
18,0
2,0
13,0
11,0
13,0
16,0
30,0
31,0
5,0
5,0
8,0
15,0
6,0
13,0
19,0
10,0
107,2
14,0
18,0
41,0
89,2
9,0
15,0
14,0
22,0
15,0
9,0
7,0
9,0
88,2
13,0
6,0
10,0
8,0
11,0
11,0
30,0
12,0
11,0
48,0
6,0
12,0
5,0
11,0
12,0
27,0
36,0
6,0
9,0
6,0
2,0
9,0
20,0
16,0
29,0
6,0
31,0
16,0
22,0
7,0
5,0
20,0
42,0
15,0
56,2
120,2
10,0
9,0
17,0
71,2
101,2
7,0
11,0
16,0
28,0
6,0
7,0
7,0
4,0
71,2
4,0
69,2
25,0
73,2
11,0
10,0
10,0
3,0
22,0
5,0
18,0
12,0
58,2
7,0
25,0
35,0
6,0
5,0
17,0
13,0
27,0
11,0
22,0
24,0
59,2
6,0
6,0
5,0
56,2
10,0
79,2
25,0
5,0
3,0
14,0
5,0
37,0
7,0
7,0
6,0
13,0
3,0
24,0
5,0
11,0
7,0
11,0
15,0
13,0
13,0
3,0
10,0
13,0
5,0
2,0
7,0
10,0
5,0
30,0
10,0
114,2
55,2
10,0
19,0
9,0
23,0
23,0
8,0
32,0
6,0
29,0
7,0
70,2
12,0
2,0
250,1
6,0
11,0
36,0
5,0
19,0
12,0
8,0
13,0
3,0
5,0
7,0
7,0
9,0
11,0
6,0
32,0
5,0
7,0
27,0
29,0
8,0
4,0
5,0
6,0
48,0
8,0
5,0
38,0
9,0
6,0
4,0
11,0
7,0
22,0
10,0
6,0
5,0
84,2
8,0
9,0
58,2
5,0
18,0
7,0
6,0
15,0
10,0
6,0
6,0
60,2
7,0
14,0
11,0
56,2
3,0
4,0
22,0
3,0
39,0
36,0
33,0
3,0
7,0
48,0
4,0
3,0
9,0
6,0
2,0
3,0
5,0
12,0
6,0
10,0
6,0
6,0
5,0
53,0
17,0
7,0
2,0
4,0
7,0
7,0
7,0
15,0
4,0
4,0
164,2
11,0
50,0
43,0
12,0
6,0
7,0
34,0
4,0
5,0
5,0
5,0
14,0
23,0
32,0
6,0
49,0
58,2
6,0
21,0
5,0
25,0
6,0
13,0
12,0
5,0
12,0
10,0
10,0
7,0
6,0
5,0
27,0
15,0
7,0
3,0
5,0
14,0
12,0
2,0
50,0
4,0
73,2
31,0
24,0
61,2
16,0
18,0
19,0
26,0
1,0
26,0
5,0
45,0
7,0
5,0
2,0
5,0
2,0
5,0
9,0
4,0
9,0
64,2
4,0
6,0
5,0
6,0
5,0
2,0
11,0
5,0
21,0
13,0
10,0
5,0
8,0
52,0
9,0
12,0
27,0
16,0
8,0
11,0
10,0
23,0
9,0
7,0
51,0
17,0
75,2
30,0
5,0
56,2
4,0
4,0
3,0
29,0
28,0
26,0
30,0
4,0
4,0
3,0
6,0
14,0
43,0
10,0
70,2
11,0
50,0
72,2
16,0
3,0
3,0
37,0
2,0
3,0
2,0
16,0
31,0
5,0
80,2
22,0
5,0
5,0
4,0
4,0
6,0
12,0
6,0
19,0
4,0
5,0
8,0
16,0
39,0
19,0
3,0
2,0
40,0
2,0
2,0
5,0
5,0
4,0
25,0
5,0
76,2
14,0
2,0
12,0
21,0
4,0
4,0
9,0
12,0
11,0
25,0
3,0
44,0
31,0
8,0
24,0
4,0
11,0
17,0
6,0
26,0
50,0
12,0
4,0
12,0
42,0
7,0
8,0
4,0
7,0
6,0
5,0
45,0
3,0
3,0
41,0
36,0
9,0
9,0
2,0
7,0
7,0
1,0
13,0
3,0
8,0
6,0
2,0
4,0
6,0
4,0
10,0
11,0
8,0
10,0
5,0
3,0
17,0
2,0
10,0
7,0
16,0
10,0
3,0
20,0
7,0
8,0
5,0
5,0
6,0
7,0
8,0
6,0
3,0
5,0
7,0
3,0
2,0
22,0
8,0
2,0
61,2
51,0
6,0
1,0
6,0
7,0
5,0
39,0
4,0
3,0
4,0
2,0
15,0
5,0
6,0
14,0
5,0
4,0
8,0
3,0
15,0
4,0
3,0
4,0
34,0
17,0
9,0
23,0
26,0
9,0
1,0
5,0
4,0
5,0
7,0
6,0
14,0
17,0
3,0
5,0
25,0
5,0
5,0
22,0
22,0
39,0
5,0
6,0
4,0
13,0
8,0
5,0
15,0
2,0
6,0
3,0
18,0
3,0
5,0
59,2
26,0
4,0
61,2
10,0
5,0
3,0
12,0
16,0
14,0
3,0
21,0
60,2
83,2
17,0
10,0
1,0
2,0
8,0
4,0
9,0
3,0
3,0
3,0
22,0
5,0
11,0
3,0
2,0
19,0
18,0
5,0
4,0
10,0
15,0
3,0
10,0
13,0
10,0
15,0
3,0
6,0
5,0
1,0
8,0
59,2
2,0
53,0
5,0
15,0
6,0
7,0
17,0
36,0
3,0
2,0
4,0
5,0
1,0
2,0
7,0
5,0
23,0
15,0
4,0
19,0
11,0
4,0
14,0
3,0
9,0
3,0
32,0
3,0
3,0
13,0
11,0
6,0
6,0
2,0
4,0
3,0
6,0
2,0
38,0
5,0
50,0
4,0
38,0
14,0
15,0
1,0
2,0
6,0
47,0
29,0
1,0
5,0
11,0
7,0
3,0
18,0
3,0
25,0
4,0
20,0
4,0
6,0
2,0
4,0
9,0
4,0
3,0
5,0
5,0
44,0
12,0
3,0
1,0
7,0
1,0
3,0
4,0
1,0
23,0
10,0
3,0
4,0
31,0
39,0
2,0
3,0
6,0
3,0
25,0
9,0
15,0
4,0
2,0
38,0
17,0
15,0
5,0
11,0
2,0
3,0
